attribution_id,campaign_id,audience_id,media_channel,timestamp,touchpoint_type,attribution_percent,benchmark
ATTR_000001,CAM_000024,AUD_000953,Digital,2025-07-11 03:11:42,Conversion,0.28,0.34
ATTR_000002,CAM_000082,AUD_000655,Email,2025-06-07 23:59:53,Impression,0.91,0.77
ATTR_000003,CAM_000367,AUD_000599,TV,2025-06-09 21:29:33,Share,0.8,0.2
ATTR_000004,CAM_000128,AUD_000901,Social,2025-09-04 02:54:09,Comment,0.84,0.34
ATTR_000005,CAM_000285,AUD_000022,Email,2025-08-05 05:19:02,Click,0.58,0.75
ATTR_000006,CAM_000395,AUD_000414,Email,2025-03-29 21:41:14,Conversion,0.43,0.63
ATTR_000007,CAM_000353,AUD_000676,Print,2025-08-01 20:09:34,Engagement,0.43,0.56
ATTR_000008,CAM_000218,AUD_000283,TV,2025-04-10 03:27:23,Click,0.72,0.54
ATTR_000009,CAM_000112,AUD_000778,Radio,2025-05-30 06:32:31,Conversion,0.14,0.06
ATTR_000010,CAM_000130,AUD_001128,Streaming,2024-11-18 10:31:17,Engagement,0.6,0.32
ATTR_000011,CAM_000344,AUD_000634,Streaming,2025-08-03 18:32:53,Engagement,0.41,0.72
ATTR_000012,CAM_000060,AUD_000169,Print,2025-03-19 20:24:44,Comment,0.98,0.55
ATTR_000013,CAM_000319,AUD_000413,Streaming,2024-11-18 01:18:47,Conversion,0.52,0.75
ATTR_000014,CAM_000116,AUD_000099,Email,2025-05-02 08:08:22,Engagement,0.56,0.23
ATTR_000015,CAM_000248,AUD_001010,OOH,2025-06-07 11:07:53,Share,0.15,0.66
ATTR_000016,CAM_000180,AUD_000250,Radio,2025-07-17 23:26:00,Click,0.63,0.23
ATTR_000017,CAM_000214,AUD_000748,Print,2025-04-08 18:23:11,Conversion,0.37,0.33
ATTR_000018,CAM_000253,AUD_000625,Streaming,2025-08-11 02:30:35,Impression,0.39,0.13
ATTR_000019,CAM_000252,AUD_000448,Print,2025-04-29 21:42:16,Impression,0.2,0.33
ATTR_000020,CAM_000263,AUD_000712,Retail,2025-02-24 07:00:05,Click,0.36,0.49
ATTR_000021,CAM_000007,AUD_000316,Streaming,2025-08-03 02:22:08,Click,0.36,0.47
ATTR_000022,CAM_000029,AUD_000355,Retail,2025-08-30 09:08:58,Engagement,0.3,0.43
ATTR_000023,CAM_000122,AUD_000371,Email,2025-07-03 19:35:36,View,0.27,0.52
ATTR_000024,CAM_000350,AUD_000435,Radio,2025-05-17 23:02:59,Click,0.69,0.24
ATTR_000025,CAM_000055,AUD_000906,Social,2025-08-02 05:54:21,Comment,0.5,0.11
ATTR_000026,CAM_000279,AUD_000626,Radio,2025-02-22 17:11:40,Conversion,0.54,0.31
ATTR_000027,CAM_000197,AUD_000363,Email,2025-02-26 06:28:41,Impression,0.53,0.25
ATTR_000028,CAM_000108,AUD_000196,Streaming,2025-02-09 07:07:52,Engagement,0.35,0.45
ATTR_000029,CAM_000205,AUD_000139,TV,2025-06-29 02:25:48,Impression,0.27,0.37
ATTR_000030,CAM_000011,AUD_001002,Retail,2025-07-13 06:57:48,Share,0.27,0.23
ATTR_000031,CAM_000278,AUD_001197,Email,2025-03-25 00:48:24,Share,0.13,0.05
ATTR_000032,CAM_000177,AUD_000100,Retail,2025-03-02 08:25:27,Comment,0.31,0.22
ATTR_000033,CAM_000188,AUD_001163,Email,2025-05-25 22:46:56,Comment,0.69,0.64
ATTR_000034,CAM_000004,AUD_000545,Print,2025-08-01 03:57:34,Click,0.91,0.1
ATTR_000035,CAM_000309,AUD_000512,Social,2025-06-28 11:22:04,Comment,0.88,0.43
ATTR_000036,CAM_000382,AUD_000449,TV,2025-05-01 00:33:28,View,0.7,0.13
ATTR_000037,CAM_000371,AUD_000841,TV,2025-07-13 12:42:33,Engagement,0.35,0.34
ATTR_000038,CAM_000199,AUD_001045,Streaming,2025-05-02 10:24:33,Share,0.75,0.31
ATTR_000039,CAM_000371,AUD_001001,Print,2025-06-23 16:35:20,Click,0.83,0.77
ATTR_000040,CAM_000291,AUD_000902,Digital,2025-03-12 06:32:01,Share,0.96,0.14
ATTR_000041,CAM_000127,AUD_000177,Print,2025-08-05 19:22:06,View,0.56,0.4
ATTR_000042,CAM_000185,AUD_000495,Radio,2025-09-04 10:33:24,View,0.57,0.59
ATTR_000043,CAM_000284,AUD_000873,Social,2025-01-17 09:14:15,Conversion,0.4,0.45
ATTR_000044,CAM_000390,AUD_000933,OOH,2025-07-23 07:58:54,Share,0.22,0.71
ATTR_000045,CAM_000206,AUD_000927,Radio,2025-06-21 00:12:26,Comment,0.14,0.29
ATTR_000046,CAM_000177,AUD_001051,Email,2025-03-12 01:00:04,Conversion,0.97,0.53
ATTR_000047,CAM_000112,AUD_000400,Digital,2025-05-17 20:46:36,Impression,0.4,0.31
ATTR_000048,CAM_000246,AUD_000639,Email,2025-07-16 09:16:55,Comment,0.7,0.46
ATTR_000049,CAM_000201,AUD_000909,TV,2025-04-01 14:10:56,Impression,0.27,0.65
ATTR_000050,CAM_000083,AUD_000622,Retail,2025-06-18 10:44:26,Comment,0.4,0.44
ATTR_000051,CAM_000028,AUD_000351,Social,2025-08-13 08:16:05,Share,0.95,0.63
ATTR_000052,CAM_000363,AUD_000267,Retail,2025-07-03 22:56:53,View,0.23,0.24
ATTR_000053,CAM_000332,AUD_000231,Email,2025-06-04 00:12:11,Engagement,0.62,0.41
ATTR_000054,CAM_000167,AUD_000312,Email,2025-05-16 16:30:34,Share,0.76,0.56
ATTR_000055,CAM_000286,AUD_000890,OOH,2025-06-21 00:43:56,Comment,0.72,0.24
ATTR_000056,CAM_000295,AUD_000161,Print,2024-11-25 11:10:37,Conversion,0.46,0.76
ATTR_000057,CAM_000008,AUD_000182,Radio,2025-06-06 02:29:08,Share,0.68,0.47
ATTR_000058,CAM_000168,AUD_000206,TV,2025-07-22 22:33:44,View,0.67,0.45
ATTR_000059,CAM_000385,AUD_000556,Digital,2025-07-09 13:48:05,Impression,0.67,0.37
ATTR_000060,CAM_000010,AUD_000645,Streaming,2025-02-12 00:34:02,Engagement,0.65,0.44
ATTR_000061,CAM_000070,AUD_000143,Streaming,2024-10-29 06:31:25,Share,0.53,0.48
ATTR_000062,CAM_000076,AUD_000221,Retail,2025-08-14 13:37:37,Engagement,0.24,0.09
ATTR_000063,CAM_000255,AUD_000703,Streaming,2025-05-03 14:06:38,Comment,0.96,0.68
ATTR_000064,CAM_000210,AUD_000861,Retail,2025-05-20 19:13:12,Share,0.13,0.38
ATTR_000065,CAM_000016,AUD_000429,Digital,2025-04-10 07:52:08,Share,0.78,0.31
ATTR_000066,CAM_000399,AUD_001104,Radio,2025-04-12 03:11:41,Comment,0.85,0.72
ATTR_000067,CAM_000079,AUD_001090,Digital,2025-07-29 21:14:15,Conversion,0.39,0.51
ATTR_000068,CAM_000053,AUD_000289,Streaming,2025-05-11 06:45:16,Impression,0.52,0.31
ATTR_000069,CAM_000027,AUD_000625,Email,2025-08-07 16:21:13,Engagement,0.59,0.27
ATTR_000070,CAM_000316,AUD_001117,OOH,2025-07-06 02:17:58,Comment,0.78,0.31
ATTR_000071,CAM_000312,AUD_000596,Digital,2025-07-12 11:50:10,Share,0.2,0.57
ATTR_000072,CAM_000089,AUD_000147,OOH,2025-08-07 17:32:40,Engagement,0.94,0.39
ATTR_000073,CAM_000309,AUD_000902,OOH,2025-04-14 00:36:51,View,0.93,0.3
ATTR_000074,CAM_000122,AUD_000067,TV,2025-05-21 19:43:22,Engagement,0.21,0.39
ATTR_000075,CAM_000275,AUD_000576,Retail,2025-03-07 16:27:45,Impression,0.43,0.69
ATTR_000076,CAM_000340,AUD_000987,TV,2025-08-08 13:25:35,Click,0.16,0.34
ATTR_000077,CAM_000368,AUD_001045,OOH,2025-08-10 12:53:19,Click,0.98,0.23
ATTR_000078,CAM_000306,AUD_000156,Streaming,2025-08-04 14:26:55,Impression,0.6,0.24
ATTR_000079,CAM_000364,AUD_000090,Streaming,2025-07-31 12:16:20,Click,0.92,0.23
ATTR_000080,CAM_000284,AUD_000978,Retail,2024-11-30 02:14:03,Click,1.0,0.78
ATTR_000081,CAM_000140,AUD_001196,Social,2025-08-28 05:43:57,Impression,0.23,0.58
ATTR_000082,CAM_000149,AUD_000467,Email,2025-06-06 07:31:52,Comment,0.34,0.14
ATTR_000083,CAM_000157,AUD_001146,Email,2025-07-04 04:32:13,View,0.51,0.25
ATTR_000084,CAM_000257,AUD_000113,Streaming,2025-06-12 01:03:26,Conversion,0.26,0.4
ATTR_000085,CAM_000119,AUD_000921,Email,2025-07-14 01:45:41,Engagement,0.26,0.46
ATTR_000086,CAM_000365,AUD_000321,Radio,2025-08-20 04:21:35,View,0.67,0.52
ATTR_000087,CAM_000153,AUD_000281,Retail,2025-08-15 09:02:55,Share,0.71,0.1
ATTR_000088,CAM_000182,AUD_000373,Streaming,2025-06-20 05:57:50,Impression,0.27,0.79
ATTR_000089,CAM_000399,AUD_000124,Retail,2025-09-01 22:13:17,Share,0.13,0.19
ATTR_000090,CAM_000268,AUD_001119,Print,2025-06-18 01:12:34,Share,0.69,0.57
ATTR_000091,CAM_000259,AUD_000632,OOH,2025-07-31 23:05:04,Impression,0.62,0.12
ATTR_000092,CAM_000202,AUD_000695,Print,2025-05-31 09:43:52,View,0.33,0.67
ATTR_000093,CAM_000097,AUD_000669,Retail,2025-08-05 17:34:35,Share,0.34,0.66
ATTR_000094,CAM_000208,AUD_000057,TV,2025-06-01 15:01:33,Impression,0.99,0.19
ATTR_000095,CAM_000286,AUD_000963,Retail,2025-06-16 09:54:28,Conversion,0.82,0.78
ATTR_000096,CAM_000253,AUD_000141,Digital,2025-03-16 23:06:57,View,0.11,0.52
ATTR_000097,CAM_000375,AUD_001084,Social,2025-05-06 01:09:22,Impression,0.52,0.23
ATTR_000098,CAM_000225,AUD_001137,Social,2025-05-19 21:01:57,Share,0.33,0.19
ATTR_000099,CAM_000324,AUD_000911,TV,2024-12-19 21:46:19,Conversion,0.67,0.27
ATTR_000100,CAM_000245,AUD_000435,TV,2025-01-22 04:58:11,Engagement,0.19,0.09
ATTR_000101,CAM_000081,AUD_000672,Digital,2025-07-04 05:20:05,Share,0.64,0.31
ATTR_000102,CAM_000344,AUD_000449,Email,2025-02-03 23:44:42,Engagement,0.31,0.79
ATTR_000103,CAM_000101,AUD_000609,Streaming,2025-04-19 15:02:16,Comment,0.5,0.63
ATTR_000104,CAM_000080,AUD_000019,Radio,2025-01-25 01:09:24,View,0.33,0.76
ATTR_000105,CAM_000195,AUD_000747,OOH,2025-08-19 08:48:11,Conversion,0.35,0.34
ATTR_000106,CAM_000383,AUD_000776,Digital,2025-04-06 01:52:58,Comment,0.5,0.2
ATTR_000107,CAM_000070,AUD_000577,TV,2025-03-22 19:56:51,View,0.31,0.6
ATTR_000108,CAM_000204,AUD_000706,Social,2025-07-27 04:37:12,Engagement,0.31,0.75
ATTR_000109,CAM_000290,AUD_000921,Email,2025-07-29 17:01:41,Impression,0.15,0.76
ATTR_000110,CAM_000186,AUD_000370,Social,2025-04-27 07:32:53,Click,0.41,0.65
ATTR_000111,CAM_000336,AUD_000537,Digital,2025-07-07 08:14:45,View,0.56,0.4
ATTR_000112,CAM_000168,AUD_000072,Streaming,2025-07-09 13:36:49,Conversion,0.31,0.53
ATTR_000113,CAM_000156,AUD_000623,Social,2025-07-06 13:54:42,Share,0.49,0.57
ATTR_000114,CAM_000058,AUD_000666,Social,2025-08-11 13:49:12,Click,0.55,0.72
ATTR_000115,CAM_000105,AUD_000657,Print,2025-09-01 01:15:29,Share,0.56,0.74
ATTR_000116,CAM_000140,AUD_000276,Social,2025-07-25 06:30:13,Engagement,0.8,0.26
ATTR_000117,CAM_000258,AUD_000695,Radio,2025-05-01 03:28:43,View,0.27,0.67
ATTR_000118,CAM_000114,AUD_001084,Retail,2025-06-28 07:36:30,Click,0.96,0.76
ATTR_000119,CAM_000210,AUD_000780,Streaming,2025-06-02 14:11:54,Comment,0.84,0.2
ATTR_000120,CAM_000354,AUD_001044,Email,2024-10-02 06:43:44,Conversion,0.35,0.42
ATTR_000121,CAM_000239,AUD_000656,TV,2025-05-10 16:44:56,Click,0.67,0.39
ATTR_000122,CAM_000180,AUD_001117,TV,2025-07-31 01:41:37,Comment,0.93,0.11
ATTR_000123,CAM_000038,AUD_001099,Streaming,2025-08-05 22:42:21,Conversion,0.4,0.07
ATTR_000124,CAM_000088,AUD_001109,Radio,2025-07-18 09:00:43,Conversion,0.94,0.22
ATTR_000125,CAM_000023,AUD_001096,Digital,2025-07-24 22:04:06,View,0.11,0.48
ATTR_000126,CAM_000351,AUD_000083,Email,2025-01-26 14:36:42,Engagement,0.99,0.42
ATTR_000127,CAM_000284,AUD_000088,Email,2025-01-29 17:15:55,Engagement,0.37,0.36
ATTR_000128,CAM_000141,AUD_000961,Social,2025-08-05 00:07:21,Engagement,0.25,0.77
ATTR_000129,CAM_000123,AUD_000125,TV,2025-08-15 08:34:13,Conversion,0.29,0.08
ATTR_000130,CAM_000111,AUD_000472,Email,2025-07-19 20:00:00,Engagement,0.92,0.13
ATTR_000131,CAM_000027,AUD_000317,Digital,2025-04-14 13:40:45,Click,0.51,0.25
ATTR_000132,CAM_000079,AUD_000181,OOH,2025-08-16 05:30:08,Conversion,0.91,0.55
ATTR_000133,CAM_000357,AUD_000959,OOH,2025-08-24 07:13:23,View,0.86,0.62
ATTR_000134,CAM_000356,AUD_000054,Streaming,2025-04-23 21:00:10,Share,0.7,0.63
ATTR_000135,CAM_000087,AUD_000726,Radio,2025-07-29 19:33:50,View,0.24,0.2
ATTR_000136,CAM_000348,AUD_001118,Social,2025-06-17 21:18:14,View,0.56,0.22
ATTR_000137,CAM_000100,AUD_000440,Retail,2025-06-13 22:28:07,Engagement,0.23,0.36
ATTR_000138,CAM_000129,AUD_000291,Retail,2025-07-18 11:58:22,View,0.83,0.62
ATTR_000139,CAM_000054,AUD_000991,Retail,2025-08-05 14:47:10,Comment,0.25,0.51
ATTR_000140,CAM_000145,AUD_000537,OOH,2025-06-02 09:37:54,Click,0.59,0.62
ATTR_000141,CAM_000109,AUD_000819,OOH,2025-07-23 03:23:46,View,0.5,0.17
ATTR_000142,CAM_000374,AUD_001060,TV,2025-08-03 16:04:43,Share,0.89,0.77
ATTR_000143,CAM_000349,AUD_001188,Radio,2025-07-16 00:55:11,Comment,0.47,0.31
ATTR_000144,CAM_000159,AUD_000640,TV,2025-05-13 03:34:44,Conversion,0.67,0.42
ATTR_000145,CAM_000391,AUD_000908,Streaming,2025-08-30 17:19:46,View,0.13,0.38
ATTR_000146,CAM_000378,AUD_001015,Email,2025-05-01 12:39:50,Conversion,0.58,0.36
ATTR_000147,CAM_000277,AUD_000987,OOH,2025-06-15 12:42:00,Conversion,0.21,0.77
ATTR_000148,CAM_000223,AUD_000576,TV,2025-08-24 12:11:07,Click,0.96,0.28
ATTR_000149,CAM_000278,AUD_000396,Email,2025-04-17 16:42:20,Conversion,0.49,0.33
