performance_id,campaign_id,segment_id,creative_id,media_channel,impressions,clicks,conversions,cost,ROI,CTR
PERF_000001,CAM_000118,SEG_000086,CRE_000469,Digital,51497,741,17,301.2,10.25,0.0144
PERF_000002,CAM_000072,SEG_001298,CRE_000287,Retail,13292,85,3,30.77,10.35,0.0064
PERF_000003,CAM_000192,SEG_001668,CRE_000766,Streaming,30223,249,4,557.4,0.0,0.0082
PERF_000004,CAM_000224,SEG_001952,CRE_000896,TV,33598,526,18,982.5,2.29,0.0157
PERF_000005,CAM_000016,SEG_000290,CRE_000063,Email,36451,1042,49,271.11,12.5,0.0286
PERF_000006,CAM_000304,SEG_002943,CRE_001210,OOH,8043,76,1,49.64,1.29,0.0095
PERF_000007,CAM_000204,SEG_001820,CRE_000816,Streaming,19805,305,9,320.2,1.99,0.0154
PERF_000008,CAM_000335,SEG_000466,CRE_001304,Social,44944,494,11,562.08,2.89,0.011
PERF_000009,CAM_000117,SEG_002955,CRE_000465,Streaming,46147,743,35,1095.62,3.6,0.0161
PERF_000010,CAM_000156,SEG_002802,CRE_000623,Email,84985,1894,63,758.85,6.2,0.0223
PERF_000011,CAM_000092,SEG_000272,CRE_000366,TV,5179,66,1,197.14,-0.51,0.0128
PERF_000012,CAM_000090,SEG_000121,CRE_000360,Retail,14631,287,8,54.42,22.15,0.0197
PERF_000013,CAM_000125,SEG_000751,CRE_000499,OOH,95743,835,10,420.46,2.45,0.0087
PERF_000014,CAM_000033,SEG_001276,CRE_000129,Retail,83087,963,40,546.61,7.95,0.0116
PERF_000015,CAM_000084,SEG_001612,CRE_000333,Streaming,63957,1071,30,1458.44,2.06,0.0168
PERF_000016,CAM_000397,SEG_003006,CRE_001490,Retail,96364,685,32,662.75,2.13,0.0071
PERF_000017,CAM_000254,SEG_000425,CRE_001014,Digital,65976,918,29,184.75,23.53,0.0139
PERF_000018,CAM_000246,SEG_000356,CRE_000984,Radio,3593,57,1,23.5,2.63,0.016
PERF_000019,CAM_000074,SEG_000922,CRE_000295,Retail,91102,538,24,862.76,2.84,0.0059
PERF_000020,CAM_000325,SEG_000329,CRE_001275,Print,92631,1357,47,253.49,19.3,0.0147
PERF_000021,CAM_000247,SEG_000704,CRE_000986,Streaming,37221,382,4,609.0,0.24,0.0103
PERF_000022,CAM_000371,SEG_002177,CRE_001412,Print,67511,778,33,633.57,3.28,0.0115
PERF_000023,CAM_000191,SEG_002096,CRE_000762,OOH,61619,397,18,351.53,2.93,0.0064
PERF_000024,CAM_000304,SEG_002357,CRE_001210,Social,91978,1666,56,539.35,10.1,0.0181
PERF_000025,CAM_000001,SEG_001960,CRE_000003,OOH,84484,436,6,606.04,0.35,0.0052
PERF_000026,CAM_000083,SEG_001737,CRE_000330,Retail,41119,413,11,408.04,1.52,0.0101
PERF_000027,CAM_000001,SEG_000803,CRE_000001,TV,29759,419,12,920.39,-0.27,0.0141
PERF_000028,CAM_000217,SEG_001175,CRE_000868,Radio,74929,720,24,544.7,6.86,0.0096
PERF_000029,CAM_000278,SEG_001699,CRE_001112,Retail,79781,1178,34,333.0,14.98,0.0148
PERF_000030,CAM_000092,SEG_002863,CRE_000366,TV,28462,450,7,695.96,0.8,0.0158
PERF_000031,CAM_000257,SEG_001650,CRE_001027,OOH,4359,64,1,21.52,8.09,0.0147
PERF_000032,CAM_000273,SEG_002012,CRE_001089,Radio,38610,382,14,354.29,6.23,0.0099
PERF_000033,CAM_000003,SEG_000879,CRE_000009,Digital,35165,438,11,113.61,17.07,0.0125
PERF_000034,CAM_000114,SEG_000458,CRE_000456,Digital,20673,139,6,87.32,5.1,0.0067
PERF_000035,CAM_000084,SEG_000566,CRE_000336,Print,52542,503,9,440.41,2.26,0.0096
PERF_000036,CAM_000293,SEG_000013,CRE_001172,Retail,42313,446,17,302.72,3.77,0.0105
