engagement_id,audience_id,channel_type,impressions,reach,frequency,engagement_rate
ENG_000001,AUD_000001,OOH,13080,8386,1.56,0.0082
ENG_000002,AUD_000001,Retail,1178,929,1.27,0.0037
ENG_000003,AUD_000001,Social,18291,12881,1.42,0.0766
ENG_000004,AUD_000001,Radio,1711,1439,1.19,0.0129
ENG_000005,AUD_000001,TV,76550,51336,1.49,0.0038
ENG_000006,AUD_000002,TV,99161,86640,1.14,0.0085
ENG_000007,AUD_000002,Streaming,75628,65071,1.16,0.0121
ENG_000008,AUD_000002,Radio,14871,10755,1.38,0.0299
ENG_000009,AUD_000002,Digital,17200,14727,1.17,0.0369
ENG_000010,AUD_000003,Retail,2197,1452,1.51,0.0038
ENG_000011,AUD_000003,Digital,31359,19196,1.63,0.0493
ENG_000012,AUD_000004,OOH,2250,1595,1.41,0.0047
ENG_000013,AUD_000004,TV,71370,54142,1.32,0.0041
ENG_000014,AUD_000005,Print,1685,1179,1.43,0.0048
ENG_000015,AUD_000005,Radio,1620,1313,1.23,0.0112
ENG_000016,AUD_000005,Retail,4016,2524,1.59,0.0043
ENG_000017,AUD_000005,Email,10500,6979,1.5,0.0272
ENG_000018,AUD_000006,TV,51635,40701,1.27,0.0053
ENG_000019,AUD_000006,Retail,3500,2229,1.57,0.0022
ENG_000020,AUD_000006,Print,3516,2121,1.66,0.0228
ENG_000021,AUD_000007,Streaming,69739,47858,1.46,0.0171
ENG_000022,AUD_000007,Print,7591,6429,1.18,0.0042
ENG_000023,AUD_000007,Retail,4161,2795,1.49,0.0252
ENG_000024,AUD_000008,Retail,1177,921,1.28,0.0139
ENG_000025,AUD_000008,Social,9156,7690,1.19,0.0308
ENG_000026,AUD_000009,Print,8263,5456,1.51,0.0035
ENG_000027,AUD_000009,Radio,14560,12964,1.12,0.0109
ENG_000028,AUD_000009,Social,1726,1252,1.38,0.0287
ENG_000029,AUD_000009,TV,168931,117873,1.43,0.004
ENG_000030,AUD_000009,Streaming,65179,48041,1.36,0.0071
ENG_000031,AUD_000010,Social,21612,18748,1.15,0.0648
ENG_000032,AUD_000010,Print,5717,4210,1.36,0.0101
ENG_000033,AUD_000011,TV,164458,125803,1.31,0.0014
ENG_000034,AUD_000011,Radio,19974,12000,1.66,0.0144
ENG_000035,AUD_000012,Streaming,20909,16922,1.24,0.0064
ENG_000036,AUD_000012,Digital,30104,22159,1.36,0.0375
ENG_000037,AUD_000013,Digital,17296,13357,1.29,0.0192
ENG_000038,AUD_000013,Social,23815,20855,1.14,0.021
ENG_000039,AUD_000013,Email,13143,8960,1.47,0.0092
ENG_000040,AUD_000014,Streaming,17348,15073,1.15,0.0137
ENG_000041,AUD_000014,Print,7171,4615,1.55,0.0041
ENG_000042,AUD_000014,Digital,39603,26461,1.5,0.0159
ENG_000043,AUD_000014,Social,6788,4879,1.39,0.0359
ENG_000044,AUD_000015,Radio,5675,4632,1.23,0.0098
ENG_000045,AUD_000015,Streaming,18492,12887,1.43,0.0096
ENG_000046,AUD_000015,Retail,4632,2824,1.64,0.0102
ENG_000047,AUD_000015,TV,63081,49331,1.28,0.0027
ENG_000048,AUD_000016,Radio,8802,5298,1.66,0.015
ENG_000049,AUD_000016,Social,13068,10584,1.23,0.0316
ENG_000050,AUD_000016,Streaming,16938,10177,1.66,0.0173
ENG_000051,AUD_000016,OOH,10234,6507,1.57,0.0234
ENG_000052,AUD_000016,Print,9635,6455,1.49,0.0279
ENG_000053,AUD_000017,Digital,35305,21296,1.66,0.0487
ENG_000054,AUD_000017,Streaming,45331,33193,1.37,0.0067
ENG_000055,AUD_000018,Radio,8339,7161,1.16,0.0277
ENG_000056,AUD_000018,Digital,46129,39021,1.18,0.0398
ENG_000057,AUD_000018,Retail,1258,924,1.36,0.0254
ENG_000058,AUD_000019,Print,15563,11088,1.4,0.0113
ENG_000059,AUD_000019,Streaming,22372,16735,1.34,0.0161
ENG_000060,AUD_000019,Social,23590,19633,1.2,0.0343
ENG_000061,AUD_000019,Email,3267,2921,1.12,0.0209
ENG_000062,AUD_000020,Streaming,34799,23461,1.48,0.0148
ENG_000063,AUD_000020,Print,16994,13198,1.29,0.0299
ENG_000064,AUD_000020,Retail,3578,2455,1.46,0.0155
ENG_000065,AUD_000020,OOH,18010,14059,1.28,0.0247
ENG_000066,AUD_000021,TV,127598,112085,1.14,0.0088
ENG_000067,AUD_000021,Print,5890,5264,1.12,0.0107
ENG_000068,AUD_000021,Digital,18279,16074,1.14,0.0247
ENG_000069,AUD_000021,Radio,1703,1361,1.25,0.0257
ENG_000070,AUD_000022,Radio,6895,5935,1.16,0.0146
ENG_000071,AUD_000022,TV,133974,97481,1.37,0.0069
ENG_000072,AUD_000022,Retail,1993,1464,1.36,0.0178
ENG_000073,AUD_000022,Digital,15493,11204,1.38,0.0404
ENG_000074,AUD_000022,Social,21695,17297,1.25,0.0673
ENG_000075,AUD_000023,Streaming,77178,66235,1.17,0.0053
ENG_000076,AUD_000023,Print,4851,2949,1.64,0.0186
ENG_000077,AUD_000024,Print,3228,2507,1.29,0.0255
ENG_000078,AUD_000024,TV,50914,42990,1.18,0.0016
ENG_000079,AUD_000024,Retail,4328,2660,1.63,0.0263
ENG_000080,AUD_000025,OOH,6507,4933,1.32,0.011
ENG_000081,AUD_000025,Print,18166,13416,1.35,0.0249
ENG_000082,AUD_000025,Radio,17245,14407,1.2,0.0035
ENG_000083,AUD_000026,Digital,11893,9145,1.3,0.0271
ENG_000084,AUD_000026,Print,14147,9786,1.45,0.0018
ENG_000085,AUD_000026,Retail,4521,3322,1.36,0.0194
ENG_000086,AUD_000026,Streaming,57450,41197,1.39,0.017
ENG_000087,AUD_000026,TV,79378,71213,1.11,0.0084
ENG_000088,AUD_000027,TV,81490,72630,1.12,0.0043
ENG_000089,AUD_000027,Radio,8869,7597,1.17,0.0222
ENG_000090,AUD_000027,Print,19642,17287,1.14,0.0202
ENG_000091,AUD_000028,Email,2596,1943,1.34,0.0041
ENG_000092,AUD_000028,Digital,35603,29340,1.21,0.0452
ENG_000093,AUD_000028,OOH,18201,13192,1.38,0.0147
ENG_000094,AUD_000028,TV,145186,110690,1.31,0.006
ENG_000095,AUD_000029,OOH,9589,7219,1.33,0.0284
ENG_000096,AUD_000029,Email,10245,7681,1.33,0.0186
ENG_000097,AUD_000030,Radio,8706,6197,1.4,0.0185
ENG_000098,AUD_000030,Retail,4347,3588,1.21,0.0061
ENG_000099,AUD_000030,Streaming,28952,24085,1.2,0.0176
ENG_000100,AUD_000030,OOH,7558,4674,1.62,0.012
ENG_000101,AUD_000031,Print,17085,10824,1.58,0.0036
ENG_000102,AUD_000031,Streaming,65080,57833,1.13,0.0136
ENG_000103,AUD_000031,OOH,7908,5621,1.41,0.0207
ENG_000104,AUD_000031,Social,7975,6285,1.27,0.0347
ENG_000105,AUD_000032,Email,18379,11758,1.56,0.0241
ENG_000106,AUD_000032,Social,24714,20633,1.2,0.0424
ENG_000107,AUD_000032,TV,111714,78068,1.43,0.004
ENG_000108,AUD_000032,Digital,32756,26429,1.24,0.0121
ENG_000109,AUD_000032,OOH,10069,8384,1.2,0.0287
ENG_000110,AUD_000033,OOH,19301,12493,1.54,0.0181
ENG_000111,AUD_000033,Streaming,35816,24609,1.46,0.0105
ENG_000112,AUD_000033,TV,168504,112767,1.49,0.0098
ENG_000113,AUD_000033,Email,5179,3320,1.56,0.0074
ENG_000114,AUD_000034,OOH,19601,15588,1.26,0.0209
ENG_000115,AUD_000034,Print,15397,10963,1.4,0.023
ENG_000116,AUD_000034,Digital,47491,29285,1.62,0.023
ENG_000117,AUD_000034,TV,176446,142536,1.24,0.0055
ENG_000118,AUD_000034,Streaming,73244,61106,1.2,0.0134
ENG_000119,AUD_000035,Retail,2234,1542,1.45,0.0103
ENG_000120,AUD_000035,Social,12460,8401,1.48,0.0755
ENG_000121,AUD_000035,TV,70051,43474,1.61,0.004
ENG_000122,AUD_000035,Streaming,56100,34192,1.64,0.0138
ENG_000123,AUD_000035,Digital,35109,22728,1.54,0.0348
ENG_000124,AUD_000036,Social,20383,16521,1.23,0.0424
ENG_000125,AUD_000036,Print,12545,11259,1.11,0.0064
ENG_000126,AUD_000037,Social,14334,10904,1.31,0.0734
ENG_000127,AUD_000037,Email,16093,14370,1.12,0.0244
ENG_000128,AUD_000037,Retail,4899,3402,1.44,0.0015
ENG_000129,AUD_000037,TV,121375,81120,1.5,0.0093
ENG_000130,AUD_000038,Retail,1052,636,1.65,0.0052
ENG_000131,AUD_000038,Streaming,73803,61541,1.2,0.0139
ENG_000132,AUD_000038,TV,118273,93041,1.27,0.0041
ENG_000133,AUD_000038,Radio,5923,3757,1.58,0.0288
ENG_000134,AUD_000039,Email,17545,13399,1.31,0.0196
ENG_000135,AUD_000039,Streaming,64481,50513,1.28,0.0191
ENG_000136,AUD_000040,Social,21567,16733,1.29,0.0422
ENG_000137,AUD_000040,Digital,26034,17261,1.51,0.0223
ENG_000138,AUD_000041,Streaming,52591,42861,1.23,0.0056
ENG_000139,AUD_000041,Email,7181,4953,1.45,0.0117
ENG_000140,AUD_000042,Streaming,47524,40512,1.17,0.0182
ENG_000141,AUD_000042,Print,6287,4497,1.4,0.0098
ENG_000142,AUD_000043,Radio,1106,966,1.14,0.0289
ENG_000143,AUD_000043,Retail,2388,1677,1.42,0.0083
